Year	Month	TMax	TMin	PAR	PREC	CO2
1600-1950	1	0.38	-14.26	288.51	63.5	315.7
1600-1950	2	3.18	-12.27	363.49	43.64	315.88
1600-1950	3	8.42	-9.71	440.81	18.39	315.62
1600-1950	4	14.01	-4.41	541.69	32.89	315.56
1600-1950	5	16.58	-0.69	518.8	56.31	315.5
1600-1950	6	22.59	4.38	531.66	29.87	315.92
1600-1950	7	25.33	7.53	529.24	97.66	315.66
1600-1950	8	22.37	6.33	474.55	123.07	315.81
1600-1950	9	21.92	4.48	407.91	56.26	316.55
1600-1950	10	15.24	-2.64	368.12	20.52	316.19
1600-1950	11	10.18	-8.08	300.69	6.55	316.78
1600-1950	12	5.29	-14.71	311.44	9.68	316.52
1951	1	-1.07	-16.73	289.39	97.57	316.51
1951	2	5.46	-10.71	356.64	14.56	316.47
1951	3	4.62	-9.93	384.76	82.59	316.49
1951	4	9.55	-7.71	517.8	71.15	316.86
1951	5	16.31	-1.23	483.59	53.71	317.24
1951	6	24.03	5.09	533.68	16.81	317.36
1951	7	24.6	7.93	481.04	118.71	317.3
1951	8	24.29	7.17	427.94	84.5	316.92
1951	9	21.37	3.69	400.48	19.2	316.87
1951	10	14.5	-1.99	351.86	71.33	316.76
1951	11	7.87	-6.8	289.21	67.34	316.98
1951	12	2.52	-13.68	257.94	32.72	317.13
1952	1	0.2	-15.04	294.29	30.33	317.03
1952	2	1.88	-12.16	393.65	53.73	317.28
1952	3	7.1	-9.56	431.86	68.03	317.47
1952	4	15.35	-4.34	560.18	10.64	317.27
1952	5	22.26	0.7	525.08	11.86	317.7
1952	6	27.9	4.95	543.46	1.35	317.48
1952	7	26.97	8.18	484.29	69.78	317.7
1952	8	24.73	6.69	451.21	74.89	317.8
1952	9	21.53	3.11	383.98	25.31	317.49
1952	10	16.49	-3.12	379.82	20.01	318.35
1952	11	7.96	-6.97	255.98	54.33	318.13
1952	12	4.25	-11.04	294.54	29.0	317.94
1953	1	0.57	-14.44	303.84	46.4	318.06
1953	2	2.27	-12.33	397.58	43.62	318.11
1953	3	9.72	-6.9	438.37	45.81	318.57
1953	4	11.42	-5.3	588.39	57.65	318.45
1953	5	16.68	-0.65	603.78	37.19	318.2
1953	6	21.16	3.16	522.2	32.49	318.27
1953	7	24.14	6.33	490.08	84.9	318.67
1953	8	22.27	5.54	465.77	127.28	318.48
1953	9	22.39	3.13	421.97	14.57	319.03
1953	10	18.3	-2.22	363.22	30.07	318.33
1953	11	7.8	-9.52	278.64	26.1	318.62
1953	12	4.5	-12.42	258.34	19.56	318.61
1954	1	3.32	-11.76	336.2	53.36	318.91
