Year	Month	TMax	TMin	PAR	PREC	CO2
1600-1950	1	2.84	-10.93	278.75	40.48	315.7
1600-1950	2	5.71	-9.36	346.38	27.26	315.88
1600-1950	3	10.84	-6.83	414.76	9.4	315.62
1600-1950	4	16.45	-1.57	502.76	23.7	315.56
1600-1950	5	19.03	2.16	494.9	35.01	315.5
1600-1950	6	25.07	7.34	532.78	28.11	315.92
1600-1950	7	27.92	10.5	515.1	89.95	315.66
1600-1950	8	25.01	9.07	463.62	97.86	315.81
1600-1950	9	24.38	7.39	416.04	45.23	316.55
1600-1950	10	17.61	0.34	369.25	15.38	316.19
1600-1950	11	12.55	-4.79	294.06	4.18	316.78
1600-1950	12	7.7	-11.6	301.29	6.77	316.52
1951	1	1.34	-13.8	304.65	55.09	316.51
1951	2	7.88	-7.56	378.19	10.09	316.47
1951	3	7.1	-7.16	394.51	56.13	316.49
1951	4	11.93	-4.83	508.28	48.39	316.86
1951	5	18.85	1.62	482.74	39.45	317.24
1951	6	26.67	8.18	529.94	11.99	317.36
1951	7	27.19	10.87	463.07	113.81	317.3
1951	8	26.92	10.12	427.78	71.9	316.92
1951	9	23.82	6.81	411.79	19.48	316.87
1951	10	17.02	0.97	354.1	61.29	316.76
1951	11	10.25	-3.83	299.99	53.08	316.98
1951	12	4.83	-10.72	259.91	18.92	317.13
1952	1	2.57	-12.07	304.12	18.76	317.03
1952	2	4.2	-9.38	395.51	33.46	317.28
1952	3	9.58	-6.48	449.3	39.06	317.47
1952	4	17.93	-1.34	510.07	5.78	317.27
1952	5	24.86	3.88	509.84	7.73	317.7
1952	6	30.54	8.29	538.52	1.1	317.48
1952	7	29.56	11.21	480.79	54.07	317.7
1952	8	27.26	9.52	451.76	61.16	317.8
1952	9	24.16	6.27	394.57	23.95	317.49
1952	10	18.84	0.14	378.17	19.42	318.35
1952	11	10.26	-4.02	267.51	38.8	318.13
1952	12	6.59	-7.87	276.88	19.9	317.94
1953	1	2.94	-11.6	302.44	24.39	318.06
1953	2	4.82	-9.22	393.86	30.13	318.11
1953	3	12.14	-3.92	432.35	28.33	318.57
1953	4	13.92	-2.34	568.24	37.19	318.45
1953	5	19.13	2.39	525.18	27.96	318.2
1953	6	23.81	6.19	508.73	31.14	318.27
1953	7	26.7	9.21	485.83	78.7	318.67
1953	8	24.76	8.44	458.86	103.83	318.48
1953	9	25.02	6.46	421.32	11.9	319.03
1953	10	20.79	1.3	355.12	22.28	318.33
1953	11	10.34	-6.36	291.5	22.66	318.62
1953	12	6.83	-9.3	270.65	11.04	318.61
1954	1	5.73	-8.7	326.71	33.35	318.91
1954	2	8.28	-7.93	396.65	7.23	318.68
1954	3	11.69	-5.0	455.74	44.12	318.69
