Year	Month	TMax	TMin	PAR	PREC	CO2
1600-1950	1	3.38	-9.84	282.31	32.69	315.7
1600-1950	2	6.35	-8.58	352.94	22.64	315.88
1600-1950	3	11.19	-6.06	420.47	6.4	315.62
1600-1950	4	16.91	-1.01	499.03	22.01	315.56
1600-1950	5	19.44	2.71	503.58	27.76	315.5
1600-1950	6	25.46	8.15	539.99	32.54	315.92
1600-1950	7	28.38	11.13	519.15	90.17	315.66
1600-1950	8	25.55	9.69	457.89	84.12	315.81
1600-1950	9	24.78	8.02	418.09	39.2	316.55
1600-1950	10	18.01	1.07	376.93	15.17	316.19
1600-1950	11	12.96	-3.84	301.76	4.08	316.78
1600-1950	12	8.56	-10.79	312.76	6.78	316.52
1951	1	1.97	-13.08	316.8	45.04	316.51
1951	2	8.33	-6.52	393.25	10.4	316.47
1951	3	7.51	-6.61	403.45	53.19	316.49
1951	4	12.15	-4.16	510.69	45.51	316.86
1951	5	19.31	2.21	480.21	34.01	317.24
1951	6	27.27	8.98	529.1	11.3	317.36
1951	7	27.64	11.62	454.72	130.01	317.3
1951	8	27.48	10.87	424.69	73.07	316.92
1951	9	24.22	7.68	417.81	21.14	316.87
1951	10	17.47	1.69	360.57	61.96	316.76
1951	11	10.67	-3.13	308.61	53.65	316.98
1951	12	5.22	-9.85	267.06	18.07	317.13
1952	1	2.93	-11.37	315.9	18.75	317.03
1952	2	4.48	-8.93	401.75	30.66	317.28
1952	3	10.0	-5.65	457.27	28.76	317.47
1952	4	18.45	-0.63	505.39	3.93	317.27
1952	5	25.37	4.73	516.04	6.36	317.7
1952	6	31.08	9.38	539.78	1.13	317.48
1952	7	30.07	11.93	481.28	55.55	317.7
1952	8	27.67	10.08	456.95	51.42	317.8
1952	9	24.72	7.1	404.22	24.82	317.49
1952	10	19.14	1.04	386.31	23.32	318.35
1952	11	10.57	-3.26	278.24	32.79	318.13
1952	12	7.14	-6.89	282.09	19.13	317.94
1953	1	3.39	-10.95	312.25	19.57	318.06
1953	2	5.28	-8.37	401.97	31.18	318.11
1953	3	12.57	-3.19	439.22	23.84	318.57
1953	4	14.39	-1.66	568.48	31.44	318.45
1953	5	19.46	3.14	527.84	24.96	318.2
1953	6	24.39	6.98	520.79	36.0	318.27
1953	7	27.19	9.9	484.41	84.57	318.67
1953	8	25.06	9.1	457.38	95.24	318.48
1953	9	25.6	7.5	423.29	11.2	319.03
1953	10	21.25	2.64	359.02	22.07	318.33
1953	11	10.9	-5.51	297.91	25.23	318.62
1953	12	7.3	-8.49	281.39	9.83	318.61
1954	1	6.15	-7.9	332.51	30.48	318.91
1954	2	8.86	-6.89	409.07	5.01	318.68
1954	3	12.1	-4.11	460.32	34.6	318.69
1954	4	12.74	-2.06	527.28	44.88	319.09
1954	5	20.27	3.53	528.25	28.79	319.39
1954	6	25.17	8.13	462.5	44.09	319.16
1954	7	30.83	12.53	484.74	20.55	318.77
1954	8	26.57	10.39	426.65	85.43	318.83
1954	9	24.97	7.1	426.74	15.43	319.06
1954	10	18.94	0.62	346.95	13.5	319.0
1954	11	11.63	-5.65	301.64	16.05	319.1
1954	12	4.18	-11.01	265.05	20.05	319.25
1955	1	1.49	-12.38	315.84	47.28	319.67
1955	2	7.05	-8.22	414.64	6.31	319.61
1955	3	7.43	-5.89	424.66	96.41	319.55
1955	4	12.56	-3.89	488.99	30.15	319.48
1955	5	20.79	3.47	488.78	13.49	319.42
1955	6	29.34	9.1	494.37	3.66	319.69
1955	7	30.25	13.07	463.7	40.42	319.58
1955	8	28.28	11.27	480.27	74.46	319.81
1955	9	23.02	6.97	401.22	56.39	319.56
1955	10	19.48	0.51	352.0	5.54	319.78
1955	11	10.76	-6.21	302.49	14.65	319.72
1955	12	4.55	-9.95	305.84	18.84	319.59
1956	1	5.72	-9.66	328.35	4.84	319.48
1956	2	7.58	-6.8	361.0	37.1	319.97
1956	3	7.9	-5.98	463.41	75.81	319.65
1956	4	15.52	-1.61	462.66	33.76	319.8
1956	5	23.32	2.85	487.19	0.43	319.36
1956	6	29.11	9.04	467.08	10.29	319.65
1956	7	30.85	12.15	483.22	37.73	320.51
1956	8	27.09	9.98	460.37	93.19	319.93
1956	9	22.0	5.57	401.94	54.71	320.68
1956	10	18.58	0.73	366.18	15.74	320.36
1956	11	7.95	-4.57	280.96	79.5	320.87
1956	12	1.94	-10.79	279.59	27.44	320.26
1957	1	2.11	-11.35	320.31	10.38	320.63
1957	2	3.9	-9.68	376.6	9.9	321.1
1957	3	10.2	-5.61	458.8	40.94	321.16
1957	4	15.04	-2.08	523.83	11.89	321.51
1957	5	21.22	4.15	445.62	21.02	321.18
1957	6	24.14	6.3	527.51	25.42	321.52
1957	7	27.83	11.27	502.81	81.39	321.49
1957	8	28.31	10.5	424.46	48.6	321.5
1957	9	25.49	7.86	463.73	25.68	321.54
1957	10	16.12	2.75	375.88	49.46	321.18
1957	11	12.02	-3.24	295.4	9.41	321.84
1957	12	4.03	-11.07	270.58	20.59	321.95
1958	1	5.73	-9.33	322.54	25.35	322.07
1958	2	4.79	-7.7	411.48	32.4	321.94
1958	3	13.29	-4.2	475.59	13.55	321.72
1958	4	15.29	-0.95	490.75	22.19	322.05
1958	5	22.32	2.74	508.06	1.78	322.27
1958	6	28.57	7.51	459.09	2.13	321.94
1958	7	30.58	11.49	463.68	48.15	321.66
1958	8	25.08	9.69	407.91	116.9	322.04
1958	9	24.08	6.0	427.68	30.94	322.19
1958	10	18.27	0.75	382.36	27.99	322.36
1958	11	12.75	-4.06	294.91	7.78	322.78
1958	12	6.63	-10.62	310.42	10.04	322.86
1959	1	4.76	-10.39	327.11	6.34	315.7
1959	2	8.96	-8.08	413.27	17.16	315.88
1959	3	14.76	-3.3	516.28	0.15	315.62
1959	4	17.62	-1.49	546.51	4.83	315.56
1959	5	19.69	2.22	526.85	26.93	315.5
1959	6	26.75	9.28	531.79	28.56	315.92
1959	7	25.71	10.53	462.85	117.99	315.66
1959	8	26.53	9.49	470.15	65.17	315.81
1959	9	22.52	7.14	445.83	80.93	316.55
1959	10	18.22	0.0	357.89	11.1	316.19
1959	11	10.08	-3.52	306.29	62.09	316.78
1959	12	1.77	-10.8	308.5	26.54	316.52
