Year	Month	TMax	TMin	PAR	PREC	CO2
1600-1950	1	3.36	-9.56	276.18	40.93	315.7
1600-1950	2	6.3	-8.34	350.98	28.09	315.88
1600-1950	3	11.4	-5.79	418.81	7.59	315.62
1600-1950	4	17.01	-0.55	484.87	24.7	315.56
1600-1950	5	19.74	3.36	496.7	28.21	315.5
1600-1950	6	25.83	8.49	532.19	25.52	315.92
1600-1950	7	28.65	11.65	511.86	88.89	315.66
1600-1950	8	25.79	10.03	465.52	90.13	315.81
1600-1950	9	25.01	8.53	419.46	45.46	316.55
1600-1950	10	18.19	1.53	371.52	13.45	316.19
1600-1950	11	13.07	-3.32	298.86	3.37	316.78
1600-1950	12	8.04	-10.18	307.67	6.46	316.52
1951	1	1.75	-12.67	312.7	46.3	316.51
1951	2	8.35	-6.32	386.61	10.81	316.47
1951	3	7.73	-6.07	399.64	55.38	316.49
1951	4	12.62	-3.77	505.66	41.97	316.86
1951	5	19.55	2.77	484.12	35.16	317.24
1951	6	27.42	9.42	531.93	6.54	317.36
1951	7	27.96	11.93	459.07	99.87	317.3
1951	8	27.72	11.24	424.12	76.63	316.92
1951	9	24.45	8.11	415.34	17.25	316.87
1951	10	17.74	2.22	357.52	58.01	316.76
1951	11	10.79	-2.67	305.91	53.25	316.98
1951	12	5.3	-9.71	264.16	16.81	317.13
1952	1	3.2	-10.84	311.15	14.78	317.03
1952	2	4.7	-8.18	395.83	31.52	317.28
1952	3	10.23	-5.35	456.9	36.38	317.47
1952	4	18.69	-0.12	504.67	2.44	317.27
1952	5	25.63	5.24	512.88	5.94	317.7
1952	6	31.29	9.64	538.65	0.21	317.48
1952	7	30.36	12.39	477.54	54.27	317.7
1952	8	27.96	10.61	453.82	62.96	317.8
1952	9	24.99	7.67	395.33	17.95	317.49
1952	10	19.42	1.69	382.41	16.71	318.35
1952	11	10.85	-2.85	269.42	33.43	318.13
1952	12	7.04	-6.63	281.41	18.55	317.94
1953	1	3.48	-10.48	309.08	18.84	318.06
1953	2	5.47	-7.99	396.08	27.01	318.11
1953	3	12.75	-2.85	426.3	27.74	318.57
1953	4	14.52	-1.21	562.19	35.51	318.45
1953	5	19.75	3.59	526.58	23.75	318.2
1953	6	24.57	7.36	511.2	24.7	318.27
1953	7	27.42	10.19	486.57	77.93	318.67
1953	8	25.55	9.52	456.84	106.59	318.48
