Year	Month	TMax	TMin	PAR	PREC	CO2
1600-1950	1	4.26	-10.92	294.39	21.94	315.7
1600-1950	2	6.46	-9.42	358.06	15.29	315.88
1600-1950	3	11.25	-6.68	421.67	8.71	315.62
1600-1950	4	16.55	-1.95	509.48	12.77	315.56
1600-1950	5	18.74	1.15	498.14	27.28	315.5
1600-1950	6	25.15	7.2	541.81	37.39	315.92
1600-1950	7	27.74	9.91	517.19	76.58	315.66
1600-1950	8	24.84	8.83	459.42	82.89	315.81
1600-1950	9	24.5	7.06	419.92	43.58	316.55
1600-1950	10	17.71	0.27	384.96	19.12	316.19
1600-1950	11	13.48	-5.22	307.24	4.96	316.78
1600-1950	12	10.15	-11.71	320.09	4.86	316.52
1951	1	3.1	-13.89	322.83	31.97	316.51
1951	2	8.86	-7.14	399.26	7.81	316.47
1951	3	7.43	-7.61	412.81	42.69	316.49
1951	4	11.92	-5.25	514.04	54.65	316.86
1951	5	19.1	0.75	479.96	45.66	317.24
1951	6	26.73	7.97	528.16	12.02	317.36
1951	7	26.85	10.66	450.46	180.94	317.3
1951	8	26.53	9.76	421.84	58.99	316.92
1951	9	24.09	6.45	421.13	30.27	316.87
1951	10	16.83	0.7	364.74	82.68	316.76
1951	11	10.86	-3.84	315.61	37.49	316.98
1951	12	6.27	-10.67	272.0	21.56	317.13
1952	1	3.7	-12.21	319.36	20.74	317.03
1952	2	4.81	-10.17	408.74	27.5	317.28
1952	3	9.79	-6.82	462.96	20.53	317.47
1952	4	17.71	-1.9	505.57	7.68	317.27
1952	5	24.61	3.85	516.96	8.19	317.7
1952	6	30.51	7.83	539.48	1.22	317.48
1952	7	29.25	10.94	482.1	58.7	317.7
1952	8	27.11	9.2	446.9	40.46	317.8
1952	9	24.05	5.96	406.5	38.95	317.49
1952	10	19.19	-0.28	392.39	31.83	318.35
1952	11	10.55	-3.91	284.5	36.77	318.13
1952	12	8.18	-7.48	283.55	17.22	317.94
1953	1	4.24	-11.66	312.52	22.19	318.06
1953	2	5.24	-9.57	407.42	33.11	318.11
1953	3	12.2	-4.01	443.05	20.91	318.57
1953	4	14.29	-2.93	577.16	20.11	318.45
1953	5	19.36	2.15	525.3	26.6	318.2
1953	6	23.7	5.59	517.35	50.38	318.27
1953	7	26.7	9.17	478.8	82.8	318.67
1953	8	24.34	7.96	462.92	81.01	318.48
1953	9	25.05	6.12	428.71	8.81	319.03
1953	10	21.14	1.44	365.04	34.47	318.33
1953	11	11.24	-6.68	307.15	32.19	318.62
1953	12	8.27	-9.51	289.57	11.26	318.61
