Year	Month	TMax	TMin	PAR	PREC	CO2
1600-1950	1	4.8	-8.98	277.15	24.6	315.7
1600-1950	2	7.57	-7.29	351.08	15.2	315.88
1600-1950	3	13.05	-4.69	414.3	7.0	315.62
1600-1950	4	18.85	1.02	493.75	17.5	315.56
1600-1950	5	21.36	4.64	492.83	28.5	315.5
1600-1950	6	27.31	9.53	534.64	14.1	315.92
1600-1950	7	30.35	12.97	502.14	72.9	315.66
1600-1950	8	27.27	11.34	470.2	84.7	315.81
1600-1950	9	26.67	9.69	430.21	36.7	316.55
1600-1950	10	19.82	2.68	368.28	11.5	316.19
1600-1950	11	14.56	-2.84	300.04	2.0	316.78
1600-1950	12	8.98	-9.83	272.94	3.9	316.52
1951	1	3.11	-11.75	290.26	38.2	316.51
1951	2	9.88	-5.88	366.78	4.5	316.47
1951	3	9.23	-4.85	393.35	35.4	316.49
1951	4	14.27	-2.35	501.53	25.1	316.86
1951	5	20.95	3.94	495.93	24.5	317.24
1951	6	28.68	10.15	529.51	13.7	317.36
1951	7	29.62	13.03	471.59	63.5	317.3
1951	8	29.3	12.52	436.85	48.8	316.92
1951	9	26.08	8.86	414.6	12.6	316.87
1951	10	19.24	3.13	350.38	35.7	316.76
1951	11	12.32	-1.86	304.28	33.1	316.98
1951	12	6.62	-8.62	261.39	10.4	317.13
1952	1	4.45	-10.03	307.35	11.1	317.03
1952	2	6.47	-7.15	383.52	19.3	317.28
1952	3	11.62	-4.15	422.63	27.3	317.47
1952	4	20.25	1.07	493.0	4.9	317.27
1952	5	27.27	6.05	510.0	5.0	317.7
1952	6	32.82	10.52	535.38	1.5	317.48
1952	7	31.91	13.57	474.68	35.4	317.7
1952	8	29.66	11.88	451.11	49.7	317.8
1952	9	26.39	8.24	390.28	16.4	317.49
1952	10	21.19	2.19	375.77	12.2	318.35
1952	11	12.44	-2.11	266.31	27.3	318.13
1952	12	8.18	-6.22	252.64	12.9	317.94
1953	1	4.81	-9.45	302.37	14.5	318.06
1953	2	7.09	-7.03	389.98	14.8	318.11
1953	3	14.51	-1.65	385.21	17.8	318.57
1953	4	16.06	-0.21	523.05	31.6	318.45
1953	5	21.43	4.66	519.92	20.6	318.2
1953	6	25.99	8.6	512.82	17.2	318.27
1953	7	28.98	11.58	485.83	57.8	318.67
1953	8	27.21	10.84	448.1	74.6	318.48
1953	9	27.32	8.61	432.14	12.8	319.03
1953	10	22.89	3.06	357.27	19.1	318.33
1953	11	12.44	-4.37	285.0	9.5	318.62
1953	12	8.73	-7.29	264.28	6.1	318.61
1954	1	7.57	-6.57	318.06	17.1	318.91
1954	2	10.25	-5.83	405.4	5.2	318.68
1954	3	13.94	-2.92	450.82	28.7	318.69
1954	4	14.44	-0.67	505.84	38.6	319.09
1954	5	22.02	4.87	531.36	17.2	319.39
