Year	Month	TMax	TMin	PAR	PREC	CO2
1600-1950	1	1.34	-12.52	295.72	52.82	315.7
1600-1950	2	4.17	-10.97	357.55	38.13	315.88
1600-1950	3	9.15	-8.45	425.95	12.16	315.62
1600-1950	4	14.76	-3.27	522.81	27.44	315.56
1600-1950	5	17.3	0.46	498.62	41.45	315.5
1600-1950	6	23.38	5.73	533.26	34.18	315.92
1600-1950	7	26.15	8.72	523.19	96.43	315.66
1600-1950	8	23.25	7.43	464.24	110.53	315.81
1600-1950	9	22.71	5.73	412.35	52.55	316.55
1600-1950	10	15.94	-1.3	372.57	18.1	316.19
1600-1950	11	10.99	-6.31	298.32	5.58	316.78
1600-1950	12	6.4	-13.04	315.73	8.33	316.52
1951	1	-0.11	-15.39	308.15	69.68	316.51
1951	2	6.31	-9.04	379.9	14.26	316.47
1951	3	5.45	-8.85	396.93	73.0	316.49
1951	4	10.24	-6.55	513.83	67.16	316.86
1951	5	17.18	-0.1	478.76	49.91	317.24
1951	6	25.05	6.65	529.72	12.31	317.36
1951	7	25.4	9.22	463.53	138.13	317.3
1951	8	25.16	8.44	426.32	89.07	316.92
1951	9	22.15	5.2	409.16	23.43	316.87
1951	10	15.29	-0.68	357.08	74.96	316.76
1951	11	8.66	-5.42	299.69	69.9	316.98
1951	12	3.4	-12.28	260.84	26.79	317.13
1952	1	1.09	-13.66	302.41	25.59	317.03
1952	2	2.59	-11.01	400.49	46.68	317.28
1952	3	7.95	-8.14	445.15	52.2	317.47
1952	4	16.19	-3.05	529.49	6.8	317.27
1952	5	23.09	2.27	511.41	9.71	317.7
1952	6	28.85	6.63	540.22	1.01	317.48
1952	7	27.84	9.53	481.2	68.75	317.7
1952	8	25.53	7.87	451.61	68.22	317.8
1952	9	22.47	4.67	394.44	26.23	317.49
1952	10	17.2	-1.43	382.18	23.16	318.35
1952	11	8.63	-5.52	268.84	46.04	318.13
1952	12	5.21	-9.3	288.25	25.11	317.94
1953	1	1.45	-13.2	307.96	34.2	318.06
1953	2	3.13	-10.87	398.37	42.05	318.11
1953	3	10.47	-5.54	440.91	39.28	318.57
1953	4	12.28	-3.93	584.62	45.13	318.45
1953	5	17.44	0.68	557.47	33.04	318.2
1953	6	22.08	4.43	507.91	38.38	318.27
1953	7	24.98	7.53	486.05	89.96	318.67
1953	8	23.01	6.72	463.51	120.54	318.48
1953	9	23.31	4.81	421.15	12.22	319.03
1953	10	19.18	-0.22	359.28	26.42	318.33
1953	11	8.74	-7.94	291.04	29.52	318.62
1953	12	5.38	-10.84	270.69	15.05	318.61
1954	1	4.21	-10.33	335.51	46.18	318.91
1954	2	6.78	-9.61	393.03	10.24	318.68
1954	3	10.02	-6.57	459.04	60.05	318.69
1954	4	10.81	-4.45	554.79	64.37	319.09
1954	5	18.0	1.02	546.45	40.43	319.39
1954	6	23.05	5.59	463.78	64.06	319.16
1954	7	28.61	10.08	473.61	30.0	318.77
1954	8	24.41	7.95	430.05	105.19	318.83
1954	9	22.83	4.55	424.22	15.71	319.06
1954	10	16.84	-1.68	343.03	19.05	319.0
1954	11	9.55	-8.15	324.5	21.75	319.1
1954	12	2.09	-13.14	271.22	27.48	319.25
1955	1	-0.46	-14.79	316.49	80.07	319.67
1955	2	5.04	-10.73	404.58	11.18	319.61
1955	3	5.32	-8.19	430.01	139.03	319.55
1955	4	10.59	-6.26	498.18	46.4	319.48
1955	5	18.77	0.93	488.63	19.93	319.42
1955	6	27.12	6.55	490.51	3.41	319.69
1955	7	28.13	10.38	468.63	47.58	319.58
1955	8	26.01	8.84	476.66	103.8	319.81
1955	9	20.68	4.52	397.7	67.57	319.56
1955	10	17.36	-2.21	349.18	6.06	319.78
1955	11	8.71	-8.42	290.73	18.78	319.72
1955	12	2.8	-12.16	308.33	28.64	319.59
1956	1	3.74	-11.99	331.47	11.67	319.48
1956	2	5.59	-9.26	363.59	58.3	319.97
1956	3	5.82	-8.31	482.86	105.61	319.65
1956	4	13.54	-4.02	459.69	52.02	319.8
1956	5	21.05	0.46	482.39	0.75	319.36
1956	6	26.95	6.64	471.04	12.66	319.65
1956	7	28.51	9.49	481.64	48.53	320.51
1956	8	24.94	7.59	461.89	117.63	319.93
1956	9	19.72	3.11	392.91	61.92	320.68
1956	10	16.46	-1.85	367.12	18.15	320.36
1956	11	5.95	-6.91	284.63	113.15	320.87
1956	12	0.12	-13.13	285.84	39.78	320.26
1957	1	-0.01	-13.87	313.74	14.74	320.63
1957	2	1.8	-12.15	366.47	17.55	321.1
1957	3	8.08	-7.82	463.2	62.79	321.16
1957	4	12.78	-4.25	540.21	19.07	321.51
1957	5	18.83	1.82	447.77	25.84	321.18
1957	6	21.92	3.91	527.19	30.79	321.52
1957	7	25.58	8.7	497.72	77.53	321.49
1957	8	26.11	8.09	424.32	50.73	321.5
1957	9	23.24	5.62	458.02	29.71	321.54
1957	10	14.06	0.38	368.34	57.32	321.18
1957	11	9.95	-5.79	293.51	12.57	321.84
1957	12	2.08	-13.29	272.65	30.09	321.95
1958	1	3.75	-11.85	308.65	35.07	322.07
1958	2	2.93	-9.87	402.19	51.52	321.94
1958	3	11.22	-6.63	487.75	20.26	321.72
1958	4	13.02	-3.47	500.45	28.49	322.05
1958	5	20.05	0.3	506.43	3.59	322.27
1958	6	26.29	4.91	458.61	2.58	321.94
1958	7	28.16	9.06	468.97	58.49	321.66
1958	8	22.97	7.37	420.0	153.96	322.04
1958	9	21.77	3.56	426.07	37.03	322.19
1958	10	16.11	-1.79	373.47	27.93	322.36
