Year	Month	TMax	TMin	PAR	PREC	CO2
1600-1950	1	3.84	-10.45	274.72	32.47	315.7
1600-1950	2	6.67	-8.5	351.03	19.49	315.88
1600-1950	3	12.19	-5.99	413.31	9.18	315.62
1600-1950	4	17.87	-0.38	488.16	20.85	315.56
1600-1950	5	20.45	3.29	493.16	34.65	315.5
1600-1950	6	26.36	8.19	534.21	18.96	315.92
1600-1950	7	29.35	11.68	506.68	80.57	315.66
1600-1950	8	26.29	10.14	470.21	96.5	315.81
1600-1950	9	25.7	8.41	428.08	38.91	316.55
1600-1950	10	18.97	1.22	367.9	13.29	316.19
1600-1950	11	13.68	-4.33	295.55	2.98	316.78
1600-1950	12	8.18	-11.2	277.51	5.39	316.52
1951	1	2.21	-13.01	294.91	50.62	316.51
1951	2	9.09	-7.17	370.22	6.27	316.47
1951	3	8.41	-6.04	393.73	42.15	316.49
1951	4	13.37	-3.73	505.44	33.46	316.86
1951	5	20.09	2.71	494.36	31.16	317.24
1951	6	27.78	8.88	529.81	14.6	317.36
1951	7	28.61	11.84	474.78	73.88	317.3
1951	8	28.25	11.13	437.76	53.31	316.92
1951	9	25.15	7.53	415.48	13.56	316.87
1951	10	18.33	1.81	351.26	43.76	316.76
1951	11	11.44	-3.06	302.29	39.8	316.98
1951	12	5.79	-9.97	260.27	13.49	317.13
1952	1	3.54	-11.36	305.63	13.38	317.03
1952	2	5.54	-8.37	388.02	23.96	317.28
1952	3	10.79	-5.57	438.12	33.75	317.47
1952	4	19.27	-0.31	496.17	6.75	317.27
1952	5	26.26	4.57	509.2	6.58	317.7
1952	6	31.83	8.96	536.47	1.79	317.48
1952	7	30.86	12.17	479.69	40.16	317.7
1952	8	28.66	10.56	451.8	59.11	317.8
1952	9	25.33	6.88	392.71	20.97	317.49
1952	10	20.22	0.62	376.23	13.27	318.35
1952	11	11.56	-3.38	265.41	35.85	318.13
1952	12	7.41	-7.47	263.51	15.49	317.94
1953	1	3.93	-10.71	302.47	20.23	318.06
1953	2	6.08	-8.4	391.29	19.27	318.11
1953	3	13.51	-2.98	402.5	21.44	318.57
1953	4	15.18	-1.44	533.95	36.63	318.45
1953	5	20.55	3.35	520.41	25.53	318.2
1953	6	25.09	7.25	512.99	21.67	318.27
1953	7	28.04	10.28	487.53	61.71	318.67
1953	8	26.22	9.56	456.56	88.57	318.48
1953	9	26.32	7.05	428.49	12.55	319.03
1953	10	21.98	1.48	356.66	20.79	318.33
1953	11	11.43	-5.71	287.6	13.36	318.62
