Year	Month	TMax	TMin	PAR	PREC	CO2
1600-1950	1	2.52	-12.3	305.69	34.42	315.7
1600-1950	2	4.81	-10.89	360.02	27.12	315.88
1600-1950	3	9.61	-8.18	417.28	11.61	315.62
1600-1950	4	15.0	-3.29	515.06	18.32	315.56
1600-1950	5	17.29	-0.03	497.38	33.21	315.5
1600-1950	6	23.61	5.81	540.76	39.8	315.92
1600-1950	7	26.21	8.52	520.82	83.58	315.66
1600-1950	8	23.31	7.43	462.13	100.6	315.81
1600-1950	9	22.98	5.69	415.59	50.91	316.55
1600-1950	10	16.22	-1.23	381.95	20.48	316.19
1600-1950	11	11.84	-6.38	302.61	5.83	316.78
1600-1950	12	8.17	-12.94	322.26	6.63	316.52
1951	1	1.28	-15.22	318.13	48.55	316.51
1951	2	7.16	-8.57	391.83	13.15	316.47
1951	3	5.87	-8.97	410.84	60.58	316.49
1951	4	10.44	-6.59	514.65	71.69	316.86
1951	5	17.49	-0.48	478.58	51.82	317.24
1951	6	25.25	6.67	526.62	13.38	317.36
1951	7	25.36	9.27	452.69	173.03	317.3
1951	8	25.07	8.4	421.65	80.67	316.92
1951	9	22.51	5.15	416.84	29.55	316.87
1951	10	15.37	-0.71	362.22	87.03	316.76
1951	11	9.27	-5.19	309.26	56.61	316.98
1951	12	4.52	-11.99	266.54	27.86	317.13
1952	1	2.05	-13.52	309.83	25.61	317.03
1952	2	3.25	-11.31	405.68	41.46	317.28
1952	3	8.29	-8.15	456.29	36.79	317.47
1952	4	16.21	-3.2	514.48	8.26	317.27
1952	5	23.07	2.42	516.61	9.31	317.7
1952	6	29.02	6.52	540.95	1.28	317.48
1952	7	27.84	9.55	481.64	72.15	317.7
1952	8	25.64	7.81	444.72	51.93	317.8
1952	9	22.58	4.61	400.1	35.45	317.49
1952	10	17.66	-1.57	388.9	32.75	318.35
1952	11	9.03	-5.27	278.54	43.21	318.13
1952	12	6.45	-8.84	289.35	21.86	317.94
1953	1	2.52	-13.02	315.49	31.16	318.06
1953	2	3.66	-10.86	405.39	42.96	318.11
1953	3	10.72	-5.4	447.54	32.04	318.57
1953	4	12.72	-4.14	592.79	32.71	318.45
1953	5	17.75	0.7	552.99	30.83	318.2
1953	6	22.13	4.18	512.79	51.85	318.27
1953	7	25.16	7.71	479.36	89.46	318.67
1953	8	22.93	6.6	457.62	100.78	318.48
1953	9	23.52	4.72	425.5	9.68	319.03
1953	10	19.61	0.01	363.29	34.34	318.33
1953	11	9.52	-7.97	301.78	35.8	318.62
1953	12	6.55	-10.77	282.98	14.18	318.61
1954	1	5.12	-10.25	340.55	41.09	318.91
1954	2	7.41	-9.61	403.52	7.4	318.68
1954	3	10.36	-6.29	456.81	44.79	318.69
1954	4	10.99	-4.67	551.4	52.06	319.09
1954	5	18.15	0.73	525.86	39.32	319.39
1954	6	22.97	5.76	458.26	52.06	319.16
1954	7	28.85	10.27	468.94	27.31	318.77
1954	8	24.5	7.96	428.57	92.12	318.83
1954	9	23.06	4.67	422.96	19.75	319.06
1954	10	17.3	-1.72	353.54	18.35	319.0
1954	11	10.2	-7.89	319.44	18.15	319.1
1954	12	3.3	-13.17	271.0	31.5	319.25
1955	1	0.64	-14.67	326.14	64.49	319.67
1955	2	5.89	-10.59	417.48	12.31	319.61
1955	3	5.51	-8.31	438.82	120.73	319.55
1955	4	10.99	-6.04	504.22	37.35	319.48
1955	5	19.08	1.0	495.74	16.73	319.42
1955	6	27.38	6.1	489.5	3.73	319.69
1955	7	28.14	10.17	465.38	53.05	319.58
1955	8	26.07	8.76	473.99	95.26	319.81
1955	9	20.87	4.54	398.21	76.3	319.56
1955	10	17.87	-2.22	356.87	8.73	319.78
1955	11	9.43	-8.31	299.64	15.85	319.72
1955	12	3.91	-12.18	302.98	20.31	319.59
1956	1	4.99	-11.63	342.44	10.02	319.48
1956	2	6.23	-9.22	373.21	41.36	319.97
1956	3	6.34	-8.41	502.06	94.68	319.65
1956	4	13.55	-3.99	460.61	39.35	319.8
1956	5	21.59	0.46	492.71	0.31	319.36
1956	6	27.07	6.41	470.36	12.1	319.65
1956	7	28.67	9.45	485.02	53.5	320.51
1956	8	24.86	7.54	464.87	112.09	319.93
1956	9	20.0	2.97	402.44	62.0	320.68
1956	10	16.81	-1.72	370.7	21.9	320.36
1956	11	6.39	-6.59	292.12	85.0	320.87
1956	12	1.11	-13.02	293.59	41.32	320.26
1957	1	1.06	-14.15	324.99	12.59	320.63
1957	2	2.66	-12.28	368.43	12.42	321.1
1957	3	8.35	-7.68	448.71	61.06	321.16
1957	4	12.84	-4.27	528.74	19.56	321.51
1957	5	19.12	1.82	451.08	22.71	321.18
1957	6	22.14	3.8	522.09	34.88	321.52
1957	7	25.59	8.67	500.57	75.01	321.49
1957	8	25.94	8.04	436.57	46.67	321.5
1957	9	23.32	5.59	467.59	29.59	321.54
1957	10	14.45	0.38	378.01	66.84	321.18
1957	11	10.49	-5.73	300.02	12.53	321.84
1957	12	3.35	-13.14	278.78	30.63	321.95
1958	1	4.81	-11.14	310.25	37.32	322.07
1958	2	3.62	-10.2	412.36	51.23	321.94
1958	3	11.36	-6.32	497.79	16.67	321.72
1958	4	12.89	-3.56	507.32	25.19	322.05
1958	5	20.47	0.34	508.54	3.7	322.27
1958	6	26.26	4.78	463.12	2.3	321.94
1958	7	28.36	9.21	472.65	69.05	321.66
1958	8	23.1	7.31	425.57	136.74	322.04
1958	9	21.76	3.64	432.3	39.04	322.19
1958	10	16.39	-1.81	387.54	26.43	322.36
1958	11	11.29	-6.49	286.27	11.8	322.78
