Year	Month	TMax	TMin	PAR	PREC	CO2
1600-1950	1	4.55	-10.23	283.08	20.82	315.7
1600-1950	2	6.99	-8.72	350.74	14.42	315.88
1600-1950	3	11.84	-6.11	418.32	6.34	315.62
1600-1950	4	17.25	-1.32	495.01	14.5	315.56
1600-1950	5	19.5	1.96	500.39	28.2	315.5
1600-1950	6	25.77	7.88	541.48	35.74	315.92
1600-1950	7	28.49	10.67	510.47	75.85	315.66
1600-1950	8	25.59	9.55	453.11	73.77	315.81
1600-1950	9	25.12	7.7	416.77	39.24	316.55
1600-1950	10	18.31	0.93	375.63	16.91	316.19
1600-1950	11	13.86	-4.58	299.56	4.55	316.78
1600-1950	12	10.33	-11.18	295.66	5.37	316.52
1951	1	3.28	-13.29	314.09	31.15	316.51
1951	2	9.28	-6.57	390.23	7.84	316.47
1951	3	7.99	-6.95	404.52	42.19	316.49
1951	4	12.5	-4.53	507.82	49.11	316.86
1951	5	19.7	1.49	479.5	40.0	317.24
1951	6	27.44	8.57	528.34	13.39	317.36
1951	7	27.67	11.37	447.51	161.34	317.3
1951	8	27.31	10.47	420.8	52.05	316.92
1951	9	24.68	7.15	417.12	26.53	316.87
1951	10	17.54	1.35	356.4	73.37	316.76
1951	11	11.34	-3.23	308.51	36.79	316.98
1951	12	6.47	-10.05	264.52	18.76	317.13
1952	1	3.95	-11.7	313.44	18.61	317.03
1952	2	5.23	-9.54	396.47	26.05	317.28
1952	3	10.32	-6.05	449.75	18.63	317.47
1952	4	18.45	-1.2	496.44	7.07	317.27
1952	5	25.38	4.51	514.39	7.64	317.7
1952	6	31.2	8.7	536.85	1.67	317.48
1952	7	30.02	11.63	481.53	53.18	317.7
1952	8	27.84	9.87	447.37	35.8	317.8
1952	9	24.74	6.61	406.51	34.43	317.49
1952	10	19.68	0.42	383.59	29.5	318.35
1952	11	11.03	-3.43	275.92	34.13	318.13
1952	12	8.37	-6.97	270.02	16.5	317.94
1953	1	4.47	-11.11	286.86	18.94	318.06
1953	2	5.79	-8.84	398.96	31.78	318.11
1953	3	12.82	-3.35	424.43	18.89	318.57
1953	4	14.89	-2.17	551.63	19.98	318.45
1953	5	19.93	2.82	523.56	25.78	318.2
1953	6	24.46	6.43	520.68	46.72	318.27
1953	7	27.4	9.86	477.65	78.42	318.67
1953	8	25.03	8.75	460.89	72.92	318.48
1953	9	25.79	6.9	428.57	8.73	319.03
1953	10	21.69	2.17	355.53	30.71	318.33
1953	11	11.73	-5.98	296.71	29.42	318.62
1953	12	8.47	-8.9	274.37	9.78	318.61
1954	1	7.11	-8.34	329.27	28.4	318.91
1954	2	9.31	-7.44	410.78	2.84	318.68
1954	3	12.48	-4.3	445.99	27.0	318.69
1954	4	12.98	-2.58	511.12	37.24	319.09
1954	5	20.47	2.84	523.07	29.98	319.39
1954	6	25.21	7.98	460.98	40.15	319.16
1954	7	31.12	12.41	482.1	18.77	318.77
1954	8	26.7	10.13	416.55	69.62	318.83
1954	9	25.27	6.77	417.57	18.46	319.06
1954	10	19.38	0.1	337.79	16.34	319.0
1954	11	12.21	-6.04	298.01	12.25	319.1
1954	12	5.38	-11.45	263.09	23.37	319.25
1955	1	2.62	-12.62	318.65	37.6	319.67
1955	2	7.96	-8.64	411.57	7.11	319.61
1955	3	7.68	-6.35	418.34	83.31	319.55
1955	4	13.15	-4.0	490.7	28.18	319.48
1955	5	21.29	3.08	485.27	12.61	319.42
1955	6	29.63	8.07	490.13	3.99	319.69
1955	7	30.35	12.36	455.48	48.86	319.58
1955	8	28.31	10.92	471.67	66.73	319.81
1955	9	23.26	6.73	391.9	70.0	319.56
1955	10	19.98	-0.08	350.2	8.23	319.78
1955	11	11.45	-6.43	294.03	12.93	319.72
