Year	Month	TMax	TMin	PAR	PREC	CO2
1600-1950	1	4.63	-10.89	291.49	21.1	315.7
1600-1950	2	6.67	-9.33	355.93	15.17	315.88
1600-1950	3	11.49	-6.54	421.42	8.81	315.62
1600-1950	4	16.74	-1.86	500.67	11.94	315.56
1600-1950	5	18.87	1.14	495.99	26.72	315.5
1600-1950	6	25.37	7.26	541.46	36.89	315.92
1600-1950	7	27.88	9.97	514.62	74.07	315.66
1600-1950	8	24.99	8.93	457.73	84.03	315.81
1600-1950	9	24.7	7.15	418.98	43.5	316.55
1600-1950	10	17.91	0.39	383.13	19.04	316.19
1600-1950	11	13.82	-5.22	305.19	4.75	316.78
1600-1950	12	10.61	-11.65	312.82	4.6	316.52
1951	1	3.51	-13.81	320.36	30.78	316.51
1951	2	9.19	-7.01	396.15	7.76	316.47
1951	3	7.65	-7.5	410.77	41.05	316.49
1951	4	12.12	-5.18	512.16	53.82	316.86
1951	5	19.33	0.77	480.98	44.58	317.24
1951	6	26.89	8.02	528.19	11.76	317.36
1951	7	26.98	10.75	449.76	178.19	317.3
1951	8	26.64	9.83	418.2	58.49	316.92
1951	9	24.32	6.48	420.42	29.5	316.87
1951	10	16.98	0.79	362.29	82.24	316.76
1951	11	11.13	-3.75	314.26	35.48	316.98
1951	12	6.69	-10.58	269.88	21.86	317.13
1952	1	4.05	-12.12	318.0	19.76	317.03
1952	2	5.11	-10.15	405.29	27.06	317.28
1952	3	10.0	-6.81	459.96	20.54	317.47
1952	4	17.85	-1.86	501.63	7.49	317.27
1952	5	24.75	3.95	516.05	7.95	317.7
1952	6	30.68	7.81	538.1	1.21	317.48
1952	7	29.37	11.03	481.81	60.3	317.7
1952	8	27.28	9.31	446.41	39.79	317.8
1952	9	24.18	6.02	404.29	38.16	317.49
1952	10	19.44	-0.26	390.12	31.45	318.35
1952	11	10.78	-3.78	284.51	36.09	318.13
1952	12	8.59	-7.38	279.55	16.65	317.94
1953	1	4.65	-11.53	314.29	21.89	318.06
1953	2	5.49	-9.53	404.33	32.2	318.11
1953	3	12.4	-3.9	435.79	20.68	318.57
1953	4	14.51	-2.93	568.47	18.77	318.45
1953	5	19.62	2.27	521.79	26.39	318.2
1953	6	23.84	5.6	516.68	49.86	318.27
1953	7	26.89	9.28	477.77	81.45	318.67
1953	8	24.48	8.02	462.86	80.84	318.48
1953	9	25.22	6.13	430.01	8.32	319.03
1953	10	21.36	1.47	362.41	34.35	318.33
1953	11	11.57	-6.63	305.57	31.59	318.62
1953	12	8.66	-9.47	289.76	11.35	318.61
1954	1	7.18	-8.87	338.87	30.7	318.91
1954	2	9.11	-8.25	414.54	3.92	318.68
1954	3	12.09	-4.81	459.31	28.86	318.69
1954	4	12.63	-3.28	527.97	37.81	319.09
1954	5	19.88	2.05	522.81	32.97	319.39
1954	6	24.6	7.33	457.54	43.4	319.16
1954	7	30.61	11.92	472.76	21.12	318.77
1954	8	26.15	9.46	420.42	74.21	318.83
1954	9	24.8	6.24	422.06	20.29	319.06
1954	10	19.1	-0.52	338.17	17.83	319.0
1954	11	11.99	-6.54	304.63	12.26	319.1
1954	12	5.44	-11.92	270.29	25.26	319.25
1955	1	2.77	-13.26	327.62	39.68	319.67
1955	2	7.91	-9.31	423.43	8.78	319.61
1955	3	7.2	-7.01	426.8	82.73	319.55
1955	4	12.8	-4.5	498.16	28.46	319.48
1955	5	20.89	2.46	492.17	12.93	319.42
1955	6	29.15	7.17	486.69	3.73	319.69
1955	7	29.78	11.56	460.21	52.45	319.58
1955	8	27.72	10.21	470.23	79.16	319.81
1955	9	22.64	6.04	397.85	78.11	319.56
1955	10	19.65	-0.83	356.43	8.83	319.78
1955	11	11.24	-6.87	304.16	13.1	319.72
1955	12	5.81	-10.83	301.61	12.95	319.59
1956	1	7.1	-10.19	342.67	4.29	319.48
1956	2	8.05	-7.89	369.17	25.13	319.97
1956	3	8.19	-7.06	478.58	64.85	319.65
1956	4	15.2	-2.46	463.15	22.36	319.8
1956	5	23.45	1.88	493.85	0.05	319.36
1956	6	28.7	7.68	466.65	10.11	319.65
1956	7	30.37	10.88	481.87	49.18	320.51
1956	8	26.4	9.07	460.0	89.86	319.93
1956	9	21.71	4.41	408.84	56.16	320.68
1956	10	18.51	-0.38	369.51	20.92	320.36
1956	11	8.1	-5.0	287.98	58.85	320.87
1956	12	3.13	-11.62	287.55	32.21	320.26
1957	1	3.08	-13.07	327.99	8.38	320.63
1957	2	4.64	-10.99	372.85	7.96	321.1
1957	3	10.08	-6.17	453.67	41.93	321.16
1957	4	14.58	-2.74	529.59	16.53	321.51
1957	5	20.9	3.26	448.96	17.52	321.18
1957	6	23.82	5.16	525.04	30.74	321.52
1957	7	27.36	10.3	504.58	63.35	321.49
1957	8	27.48	9.52	434.73	40.07	321.5
1957	9	25.0	7.07	469.25	25.74	321.54
1957	10	16.19	1.79	382.56	66.24	321.18
1957	11	12.24	-4.32	297.49	10.11	321.84
1957	12	5.41	-11.67	272.47	22.67	321.95
1958	1	6.93	-9.46	312.07	29.36	322.07
1958	2	5.46	-9.09	418.61	37.82	321.94
1958	3	13.06	-4.69	482.71	8.67	321.72
1958	4	14.53	-2.18	493.67	18.64	322.05
1958	5	22.36	1.84	507.13	3.32	322.27
1958	6	27.84	6.15	465.96	2.05	321.94
1958	7	30.09	10.83	470.14	64.06	321.66
1958	8	24.75	8.79	418.84	112.07	322.04
1958	9	23.33	5.16	432.7	37.81	322.19
1958	10	18.02	-0.41	391.73	23.76	322.36
1958	11	13.14	-4.97	290.69	11.2	322.78
1958	12	7.59	-11.59	291.3	10.16	322.86
1959	1	5.99	-10.73	341.1	7.77	315.7
1959	2	9.55	-8.89	419.3	14.75	315.88
1959	3	14.72	-4.38	525.41	0.19	315.62
1959	4	17.53	-2.08	550.78	2.94	315.56
1959	5	19.43	1.25	525.28	38.71	315.5
1959	6	26.41	8.42	526.39	39.68	315.92
1959	7	25.26	9.39	456.34	122.38	315.66
1959	8	26.01	8.37	462.46	69.54	315.81
1959	9	21.98	6.34	453.92	104.96	316.55
1959	10	18.45	-0.87	364.24	10.26	316.19
1959	11	10.54	-4.62	310.47	53.45	316.78
1959	12	2.81	-11.71	310.99	24.69	316.52
1960	1	1.77	-15.74	335.79	23.14	316.51
1960	2	9.62	-6.37	409.34	18.28	316.47
1960	3	11.54	-6.53	501.38	8.16	316.49
1960	4	15.6	-1.89	508.53	52.51	316.86
1960	5	20.42	2.28	514.7	14.94	317.24
